ev,het,datum,sz1,sz2,sz3,sz4,sz5
2018,43,2018.10.27.,3,8,49,68,76
2018,42,2018.10.20.,9,13,27,81,87
2018,41,2018.10.13.,9,20,44,50,70
2018,40,2018.10.06.,6,22,28,42,49
2018,39,2018.09.29.,13,25,35,39,44
2018,38,2018.09.22.,38,43,48,53,69
2018,37,2018.09.15.,14,28,30,52,84
2018,36,2018.09.08.,1,3,43,67,68
2018,35,2018.09.01.,4,12,31,59,61
2018,34,2018.08.25.,28,29,48,65,86
2018,33,2018.08.18.,7,27,42,66,80
2018,32,2018.08.11.,17,37,43,66,68
2018,31,2018.08.04.,4,27,30,41,56
2018,30,2018.07.28.,1,42,48,86,88
2018,29,2018.07.21.,10,13,15,31,38
2018,28,2018.07.14.,4,12,24,68,84
2018,27,2018.07.07.,4,17,46,78,83
2018,26,2018.06.30.,19,41,43,61,75
2018,25,2018.06.23.,21,32,61,65,77
2018,24,2018.06.16.,38,39,40,73,83
2018,23,2018.06.09.,20,21,25,39,57
2018,22,2018.06.02.,10,13,26,64,67
2018,21,2018.05.26.,15,26,51,74,89
2018,20,2018.05.19.,3,43,59,62,69
2018,19,2018.05.12.,4,18,56,71,80
2018,18,2018.05.05.,5,11,18,67,89
2018,17,2018.04.28.,11,23,37,55,72
2018,16,2018.04.21.,4,14,27,63,65
2018,15,2018.04.14.,19,27,31,37,81
2018,14,2018.04.07.,25,36,38,79,84
2018,13,2018.03.31.,13,14,16,29,43
2018,12,2018.03.24.,22,28,31,49,78
2018,11,2018.03.17.,1,23,42,62,71
2018,10,2018.03.10.,12,60,67,70,85
2018,9,2018.03.03.,28,50,77,78,85
2018,8,2018.02.24.,9,11,32,40,55
2018,7,2018.02.17.,10,32,42,43,46
2018,6,2018.02.10.,59,64,67,73,74
2018,5,2018.02.03.,3,20,53,79,88
2018,4,2018.01.27.,39,40,68,72,73
2018,3,2018.01.20.,1,5,34,45,46
2018,2,2018.01.13.,15,45,62,78,79
2018,1,2018.01.06.,17,24,37,49,82
2017,52,2017.12.30.,1,8,17,50,77
2017,51,2017.12.23.,55,67,70,71,73
2017,50,2017.12.16.,1,4,31,40,83
2017,49,2017.12.09.,16,39,42,45,78
2017,48,2017.12.02.,1,3,23,58,70
2017,47,2017.11.25.,1,20,26,54,55
2017,46,2017.11.18.,1,16,47,61,75
2017,45,2017.11.11.,5,18,47,61,85
2017,44,2017.11.04.,18,22,50,54,79
2017,43,2017.10.28.,15,41,50,71,76
2017,42,2017.10.21.,5,32,47,62,88
2017,41,2017.10.14.,1,21,35,42,90
2017,40,2017.10.07.,8,38,62,69,70
2017,39,2017.09.30.,10,18,83,87,89
2017,38,2017.09.23.,14,58,59,78,85
2017,37,2017.09.16.,34,43,51,67,80
2017,36,2017.09.09.,18,23,54,63,82
2017,35,2017.09.02.,27,31,47,87,89
2017,34,2017.08.26.,34,36,59,69,90
2017,33,2017.08.19.,3,7,19,39,50
2017,32,2017.08.12.,21,33,68,75,89
2017,31,2017.08.05.,7,8,25,29,76
2017,30,2017.07.29.,39,46,47,78,85
2017,29,2017.07.22.,22,30,35,61,71
2017,28,2017.07.15.,1,9,25,73,89
2017,27,2017.07.08.,33,54,66,68,72
2017,26,2017.07.01.,7,31,34,55,60
2017,25,2017.06.24.,5,9,52,59,85
2017,24,2017.06.17.,21,43,62,66,84
2017,23,2017.06.10.,6,44,46,55,81
2017,22,2017.06.03.,21,53,59,71,86
2017,21,2017.05.27.,15,24,35,53,71
2017,20,2017.05.20.,48,56,58,65,70
2017,19,2017.05.13.,5,34,45,54,55
2017,18,2017.05.06.,6,7,46,65,88
2017,17,2017.04.29.,5,31,41,44,63
2017,16,2017.04.22.,47,48,56,67,90
2017,15,2017.04.15.,58,59,71,85,89
2017,14,2017.04.08.,14,43,49,76,85
2017,13,2017.04.01.,7,12,32,38,82
2017,12,2017.03.25.,2,3,35,41,79
2017,11,2017.03.18.,1,4,59,65,85
2017,10,2017.03.11.,1,4,40,49,67
2017,9,2017.03.04.,3,28,37,44,46
2017,8,2017.02.25.,10,12,13,64,79
2017,7,2017.02.18.,51,61,64,74,79
2017,6,2017.02.11.,3,5,13,62,87
2017,5,2017.02.04.,4,39,49,60,62
2017,4,2017.01.28.,3,19,64,66,77
2017,3,2017.01.21.,17,20,59,78,81
2017,2,2017.01.14.,3,6,67,72,76
2017,1,2017.01.07.,9,11,43,57,88
2016,52,2017.01.01.,25,42,45,52,86
2016,51,2016.12.23.,8,35,60,67,84
2016,50,2016.12.17.,26,27,30,73,85
2016,49,2016.12.10.,10,14,25,51,71
2016,48,2016.12.03.,7,63,69,76,85
2016,47,2016.11.26.,33,43,58,60,77
2016,46,2016.11.19.,8,9,19,37,43
2016,45,2016.11.12.,1,11,45,67,78
2016,44,2016.11.05.,7,53,65,73,87
2016,43,2016.10.29.,53,55,67,79,80
2016,42,2016.10.22.,14,34,43,52,78
2016,41,2016.10.15.,17,22,47,73,90
2016,40,2016.10.08.,23,36,38,57,76
2016,39,2016.10.01.,1,23,37,49,60
2016,38,2016.09.24.,8,29,59,77,89
2016,37,2016.09.17.,1,9,17,18,89
2016,36,2016.09.10.,9,16,78,83,86
2016,35,2016.09.03.,4,13,47,76,78
2016,34,2016.08.27.,22,29,53,62,74
